"일자","요일","시간대","시군구","업종","통화건수"
20170901,"금",0,"강남구","족발보쌈",10
20170901,"금",0,"강남구","중국음식",16
20170901,"금",0,"강남구","치킨",21
20170901,"금",0,"강남구","피자",11
20170901,"금",0,"강동구","중국음식",5
20170901,"금",0,"강동구","치킨",14
20170901,"금",0,"강북구","중국음식",5
20170901,"금",0,"강북구","치킨",9
20170901,"금",0,"강서구","중국음식",31
20170901,"금",0,"강서구","치킨",31
20170901,"금",0,"강서구","피자",6
20170901,"금",0,"관악구","중국음식",10
20170901,"금",0,"관악구","치킨",33
20170901,"금",0,"관악구","피자",5
20170901,"금",0,"광진구","중국음식",11
20170901,"금",0,"광진구","치킨",10
20170901,"금",0,"구로구","치킨",18
20170901,"금",0,"금천구","치킨",11
20170901,"금",0,"노원구","치킨",16
20170901,"금",0,"동대문구","중국음식",9
20170901,"금",0,"동대문구","치킨",15
20170901,"금",0,"동작구","족발보쌈",5
20170901,"금",0,"동작구","치킨",5
20170901,"금",0,"마포구","중국음식",6
20170901,"금",0,"마포구","치킨",29
20170901,"금",0,"서대문구","중국음식",4
20170901,"금",0,"서대문구","치킨",17
20170901,"금",0,"서초구","중국음식",6
20170901,"금",0,"서초구","치킨",13
20170901,"금",0,"성동구","족발보쌈",6
20170901,"금",0,"성동구","중국음식",4
20170901,"금",0,"성동구","치킨",9
20170901,"금",0,"성동구","피자",6
20170901,"금",0,"성북구","치킨",14
20170901,"금",0,"송파구","중국음식",10
20170901,"금",0,"송파구","치킨",30
20170901,"금",0,"양천구","치킨",6
20170901,"금",0,"영등포구","족발보쌈",5
20170901,"금",0,"영등포구","치킨",39
20170901,"금",0,"용산구","중국음식",5
20170901,"금",0,"용산구","치킨",20
20170901,"금",0,"은평구","중국음식",5
20170901,"금",0,"은평구","치킨",5
20170901,"금",0,"은평구","피자",4
20170901,"금",0,"종로구","족발보쌈",5
20170901,"금",0,"종로구","중국음식",4
20170901,"금",0,"종로구","치킨",5
20170901,"금",0,"중구","족발보쌈",6
20170901,"금",0,"중구","중국음식",15
20170901,"금",0,"중구","치킨",15
20170901,"금",0,"중구","피자",5
20170901,"금",0,"중랑구","족발보쌈",6
20170901,"금",0,"중랑구","중국음식",17
20170901,"금",0,"중랑구","치킨",17
20170901,"금",1,"강남구","중국음식",9
20170901,"금",1,"강남구","치킨",21
20170901,"금",1,"강남구","피자",5
20170901,"금",1,"강동구","중국음식",10
20170901,"금",1,"강동구","치킨",6
20170901,"금",1,"강북구","중국음식",5
20170901,"금",1,"강북구","치킨",10
20170901,"금",1,"강북구","피자",5
20170901,"금",1,"강서구","중국음식",10
20170901,"금",1,"강서구","치킨",14
20170901,"금",1,"관악구","족발보쌈",5
20170901,"금",1,"관악구","중국음식",11
20170901,"금",1,"관악구","치킨",15
20170901,"금",1,"관악구","피자",6
20170901,"금",1,"광진구","중국음식",5
20170901,"금",1,"광진구","치킨",5
20170901,"금",1,"구로구","치킨",10
20170901,"금",1,"금천구","치킨",5
20170901,"금",1,"노원구","족발보쌈",6
20170901,"금",1,"노원구","치킨",11
20170901,"금",1,"동대문구","중국음식",9
20170901,"금",1,"동대문구","치킨",10
20170901,"금",1,"동작구","치킨",4
20170901,"금",1,"마포구","중국음식",11
20170901,"금",1,"마포구","치킨",5
20170901,"금",1,"서대문구","족발보쌈",5
20170901,"금",1,"서대문구","치킨",16
20170901,"금",1,"서초구","치킨",5
20170901,"금",1,"성동구","족발보쌈",4
20170901,"금",1,"성동구","중국음식",6
20170901,"금",1,"성동구","치킨",5
20170901,"금",1,"성북구","치킨",4
20170901,"금",1,"성북구","피자",5
20170901,"금",1,"송파구","중국음식",16
20170901,"금",1,"송파구","치킨",9
20170901,"금",1,"양천구","피자",6
20170901,"금",1,"영등포구","치킨",15
20170901,"금",1,"용산구","치킨",5
20170901,"금",1,"은평구","중국음식",5
20170901,"금",1,"은평구","치킨",5
20170901,"금",1,"은평구","피자",4
20170901,"금",1,"종로구","중국음식",6
20170901,"금",1,"종로구","치킨",6
20170901,"금",1,"중구","족발보쌈",9
20170901,"금",1,"중구","중국음식",20
20170901,"금",1,"중구","치킨",16
20170901,"금",1,"중랑구","중국음식",5
20170901,"금",1,"중랑구","치킨",11
20170901,"금",2,"강남구","족발보쌈",4
20170901,"금",2,"강남구","중국음식",19
20170901,"금",2,"강남구","치킨",15
20170901,"금",2,"강남구","피자",10
20170901,"금",2,"강동구","중국음식",4
20170901,"금",2,"강동구","치킨",5
20170901,"금",2,"강북구","중국음식",4
