기간,행정구역별,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2018,합계,계,10049607,333043,372029,384062,484736,701582,822598,760647,842013,753996,882406,798088,812567,685709,471878,373369,289214,164850,74569,27874,8515,5862
2018,합계,한국인,9765623,324470,365898,380366,474755,658915,790875,730349,818421,734337,856037,766952,780002,673949,468466,372218,288607,164475,74394,27804,8490,5843
2018,합계,등록외국인,283984,8573,6131,3696,9981,42667,31723,30298,23592,19659,26369,31136,32565,11760,3412,1151,607,375,175,70,25,19
2018,종로구,계,163026,4041,4871,5416,7851,14485,13804,11150,11571,10781,14163,13355,13587,11209,7755,6596,5964,3549,1686,692,269,231
2018,종로구,한국인,153065,3873,4715,5316,7067,11176,12589,10348,10883,10259,13590,12787,12957,10933,7648,6569,5948,3538,1678,691,269,231
2018,종로구,등록외국인,9961,168,156,100,784,3309,1215,802,688,522,573,568,630,276,107,27,16,11,8,1,,
2018,중구,계,135633,4185,3935,3453,4964,9842,11591,11116,11435,9473,10902,10879,11800,10053,6750,5468,4682,2793,1414,535,184,179
2018,중구,한국인,125725,3893,3704,3282,4411,7866,10401,10092,10678,8784,10184,10085,10939,9656,6620,5423,4641,2770,1403,533,181,179
2018,중구,등록외국인,9908,292,231,171,553,1976,1190,1024,757,689,718,794,861,397,130,45,41,23,11,2,3,
2018,용산구,계,245090,7839,8333,8097,10161,15347,20399,20700,21848,18534,21672,19035,19244,16241,11019,9120,8032,5232,2525,1005,368,339
2018,용산구,한국인,228999,7154,7552,7532,9617,13886,18629,18468,19817,16858,20272,17911,18336,15755,10782,9022,7973,5212,2521,1000,365,337
2018,용산구,등록외국인,16091,685,781,565,544,1461,1770,2232,2031,1676,1400,1124,908,486,237,98,59,20,4,5,3,2
2018,성동구,계,316463,12345,11081,10222,13137,23163,26888,26102,28711,23476,26817,25169,25698,20887,13756,11127,9073,5307,2239,790,243,232
2018,성동구,한국인,308221,12124,10953,10161,12808,21164,25733,25248,28111,22986,26245,24468,24981,20610,13669,11106,9060,5300,2235,789,241,229
2018,성동구,등록외국인,8242,221,128,61,329,1999,1155,854,600,490,572,701,717,277,87,21,13,7,4,1,2,3
2018,광진구,계,371063,11578,12357,12966,17274,30131,36505,31541,31339,26618,31484,29663,30049,23939,15380,12100,9292,5251,2320,826,260,190
2018,광진구,한국인,355559,11122,12060,12825,16409,26671,34585,30081,30366,25848,30316,28133,28294,23417,15262,12069,9278,5234,2316,825,258,190
